종목명,매출액증가율,외국인비율,PER,ROE,ROA,PBR
지에스이,34.12,3.77,23.35,6.87,3.07,1.26
제놀루션,-47.71,1.17,-73.93,16.51,13.95,0.87
디알텍,27.33,0.96,123.89,11.43,5.54,4.04
코난테크놀로지,-13.79,0.35,-61.87,-11.93,-8.75,12.56
JW신약,1.73,1.48,-3.13,2.51,1.48,6.56
우리기술투자,-95.71,3.77,-2.32,-58.18,-46.68,0.82
스카이문스테크놀로지,1.35,45.12,407.33,7.64,6.85,0.9
위지트,13.02,2.84,6.82,10.39,8.65,0.59
우리바이오,-12.2,1.83,13.4,13.07,4.11,0.74
크리스탈신소재,25.16,23.86,9.03,4.05,4.08,0.44
포시에스,12.27,3.08,15.42,7.66,7.23,1.15
누리플랜,-1.24,0.5,-1.83,-29.87,-6.12,1.41
테라사이언스,3.72,0.72,5.81,44.6,27.88,1.68
이스트아시아홀딩스,6.53,0.0,8.86,1.16,1.1,0.14
THE MIDONG,-28.35,15.95,-1.74,-33.21,-16.11,0.8
스킨앤스킨,-22.47,1.09,-2.32,-30.87,-25.23,1.54
엠에프엠코리아,26.22,7.22,-43.18,-1.18,-0.47,2.3
대한뉴팜,18.83,0.0,6.32,26.23,14.87,1.13
삼화네트웍스,150.0,1.36,25.79,27.16,16.88,1.31
위지윅스튜디오,54.92,4.08,37.59,-6.59,-7.18,2.58
우리로,-7.8,3.97,-13.84,-8.84,-5.64,1.74
유투바이오,36.52,0.14,5.5,47.54,28.5,2.15
넥스트아이,12.21,25.15,-6.94,-4.66,-2.96,0.56
에스코넥,10.48,2.48,32.75,9.49,1.76,2.15
부방,5.85,0.15,5.18,18.3,8.74,0.79
에스와이,26.67,2.47,79.05,4.66,2.0,1.53
퀀타피아,-67.4,2.37,-6.27,-58.54,-27.5,10.27
본느,12.85,1.36,27.01,8.32,1.26,2.99
에이비프로바이오,-32.82,5.49,-11.93,-5.87,-5.02,1.07
플래스크,64.82,2.14,-4.13,-32.64,-22.47,2.27
다날,3.29,7.91,-25.54,-4.64,-4.33,0.85
흥구석유,10.97,4.88,90.67,3.34,3.01,2.03
웰크론,14.7,1.66,-59.59,0.84,-0.28,1.02
하이드로리튬,-36.05,3.1,-45.56,-8.45,-3.97,5.33
코스나인,-28.27,1.27,-5.36,-46.91,-21.45,1.35
SFA반도체,9.09,5.2,90.33,10.04,6.86,1.93
스맥,24.1,3.44,7.16,14.53,5.05,1.4
솔트룩스,13.27,1.77,-19.91,-19.67,-11.8,5.89
골든센츄리,-40.69,20.77,-8.08,1.56,1.43,0.07
대아티아이,-9.21,5.24,26.39,7.83,4.26,2.03
레이크머티리얼즈,60.66,5.35,28.78,37.46,14.93,8.43
한일단조,16.33,2.28,6.52,6.52,2.99,0.68
서남,459.69,2.34,-17.75,-23.8,-10.76,10.21
글로벌텍스프리,29.4,7.52,102.78,-13.76,-10.35,3.14
